event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4070,alloc,2465,8311020,8585216,0.968062,120628,153568
4071,alloc,1363,8312384,8585216,0.968221,119232,153600
4072,alloc,3111,8315496,8589312,0.968121,120152,153664
4073,alloc,3818,8319316,8593408,0.968104,120364,153728
4074,alloc,157,8319476,8593408,0.968123,120204,153728
4075,alloc,1514,8321024,8593408,0.968303,118656,153728
4076,alloc,1175,8322200,8593408,0.968440,117480,153728
4077,alloc,2399,8324600,8597504,0.968258,119112,153792
4078,alloc,234,8324836,8597504,0.968285,118876,153792
4079,alloc,1367,8326236,8597504,0.968448,117476,153792
4080,alloc,285,8326524,8597504,0.968482,117188,153792
4081,alloc,3812,8330336,8601600,0.968464,117408,153856
4082,alloc,3984,8334320,8605696,0.968466,117456,153920
4083,alloc,2107,8336428,8609792,0.968250,119380,153984
4084,alloc,404,8336832,8609792,0.968297,118944,154016
4085,alloc,2471,8339304,8613888,0.968123,120504,154080
4086,alloc,3348,8342652,8617984,0.968051,121188,154144
4087,alloc,716,8343388,8617984,0.968137,120452,154144
4088,alloc,742,8344140,8617984,0.968224,119700,154144
4089,alloc,2689,8346832,8622080,0.968076,121040,154208
4090,alloc,3639,8350472,8626176,0.968039,121432,154272
4091,alloc,3146,8353620,8630272,0.967944,122316,154336
4092,alloc,2966,8356588,8634368,0.967829,123380,154400
4093,alloc,1762,8358360,8634368,0.968034,121608,154400
4094,alloc,2269,8360632,8638464,0.967838,123368,154464
4095,alloc,3512,8364144,8642560,0.967785,123888,154528
4096,alloc,3432,8367576,8646656,0.967724,124488,154592
4097,alloc,1062,8368640,8646656,0.967847,123424,154592
4098,alloc,1778,8370448,8646656,0.968056,121616,154592
4099,alloc,575,8371048,8646656,0.968125,121016,154592
4100,alloc,288,8371336,8646656,0.968159,120728,154592
4101,alloc,3941,8375280,8650752,0.968156,120816,154656
4102,alloc,2181,8377464,8654848,0.967950,122664,154720
4103,alloc,2091,8379556,8658944,0.967734,124604,154784
4104,alloc,2176,8381732,8663040,0.967528,126460,154848
4105,alloc,970,8382704,8663040,0.967640,125456,154880
4106,alloc,1418,8384124,8663040,0.967804,124004,154912
4107,alloc,2904,8387028,8667136,0.967682,125132,154976
4108,alloc,2569,8389600,8671232,0.967521,126592,155040
4109,alloc,372,8389992,8671232,0.967566,126200,155040
4110,alloc,3840,8393832,8675328,0.967552,126392,155104
4111,alloc,3259,8397092,8679424,0.967471,127164,155168
4112,alloc,3446,8400540,8683520,0.967412,127748,155232
4113,alloc,255,8400796,8683520,0.967441,127492,155232
4114,alloc,1163,8401960,8683520,0.967575,126328,155232
4115,alloc,3410,8405372,8687616,0.967512,126948,155296
4116,alloc,2552,8407924,8691712,0.967350,128428,155360
4117,alloc,132,8408056,8691712,0.967365,128296,155360
4118,alloc,2057,8410116,8695808,0.967146,130268,155424
4119,alloc,462,8410580,8695808,0.967199,129772,155456
4120,alloc,2271,8412852,8699904,0.967005,131532,155520
4121,alloc,2762,8415616,8704000,0.966868,132800,155584
4122,alloc,2225,8417844,8708096,0.966669,134604,155648
4123,alloc,2937,8420784,8712192,0.966552,135696,155712
4124,alloc,612,8421404,8712192,0.966623,135076,155712
4125,alloc,1601,8423008,8712192,0.966807,133472,155712
4126,alloc,633,8423672,8712192,0.966883,132808,155712
4127,alloc,2184,8425856,8716288,0.966679,134656,155776
4128,alloc,1087,8426948,8716288,0.966805,133564,155776
4129,alloc,239,8427192,8716288,0.966833,133320,155776
4130,alloc,1459,8428652,8716288,0.967000,131860,155776
4131,alloc,2021,8430676,8716288,0.967232,129836,155776
4132,alloc,1904,8432600,8716288,0.967453,127912,155776
4133,alloc,3337,8435940,8720384,0.967382,128604,155840
4134,alloc,1873,8437816,8720384,0.967597,126696,155872
4135,alloc,3868,8441684,8724480,0.967586,126860,155936
4136,alloc,666,8442364,8724480,0.967664,126180,155936
4137,alloc,1914,8444280,8724480,0.967883,124232,155968
4138,alloc,543,8444828,8724480,0.967946,123684,155968
4139,alloc,2758,8447588,8728576,0.967808,124956,156032
4140,alloc,1447,8449068,8728576,0.967978,123476,156032
4141,alloc,1709,8450780,8728576,0.968174,121732,156064
4142,alloc,3304,8454084,8732672,0.968098,122460,156128
4143,alloc,311,8454396,8732672,0.968134,122148,156128
4144,alloc,3477,8457876,8736768,0.968078,122700,156192
4145,alloc,2652,8460528,8740864,0.967928,124080,156256
4146,alloc,1589,8462120,8740864,0.968110,122456,156288
4147,alloc,19,8462140,8740864,0.968113,122436,156288
4148,alloc,1523,8463696,8740864,0.968291,120880,156288
4149,alloc,1726,8465456,8740864,0.968492,119120,156288
4150,alloc,2732,8468188,8744960,0.968351,120420,156352
4151,alloc,375,8468564,8744960,0.968394,120012,156384
4152,alloc,3756,8472320,8749056,0.968370,120288,156448
4153,alloc,3401,8475724,8753152,0.968305,120916,156512
4154,alloc,2709,8478436,8757248,0.968162,122236,156576
4155,alloc,2770,8481208,8761344,0.968026,123496,156640
4156,alloc,3761,8484972,8765440,0.968003,123764,156704
4157,alloc,1470,8486444,8765440,0.968171,122260,156736
4158,alloc,2522,8488968,8769536,0.968007,123768,156800
4159,alloc,2375,8491344,8773632,0.967825,125424,156864
4160,alloc,1781,8493148,8773632,0.968031,123620,156864
4161,alloc,3724,8496872,8777728,0.968004,123928,156928
4162,alloc,674,8497556,8777728,0.968081,123244,156928
4163,alloc,3950,8501508,8781824,0.968080,123324,156992
4164,alloc,2937,8504448,8785920,0.967963,124416,157056
4165,alloc,3169,8507620,8790016,0.967873,125276,157120
4166,alloc,608,8508244,8790016,0.967944,124652,157120
4167,alloc,1316,8509564,8790016,0.968094,123332,157120
4168,alloc,2553,8512120,8794112,0.967934,124808,157184
4169,alloc,3384,8515504,8798208,0.967868,125456,157248
4170,alloc,3385,8518892,8802304,0.967803,126100,157312
4171,alloc,4055,8522956,8806400,0.967814,126100,157344
4172,alloc,2104,8525060,8810496,0.967603,128028,157408
4173,alloc,566,8525644,8810496,0.967669,127444,157408
4174,alloc,3996,8529640,8814592,0.967673,127480,157472
4175,alloc,2960,8532600,8818688,0.967559,128552,157536
4176,alloc,3768,8536368,8822784,0.967537,128816,157600
4177,alloc,1665,8538036,8822784,0.967726,127116,157632
4178,alloc,1337,8539376,8822784,0.967878,125776,157632
4179,alloc,1629,8541032,8822784,0.968065,124120,157632
4180,alloc,2245,8543280,8826880,0.967871,125904,157696
4181,alloc,3884,8547164,8830976,0.967862,126052,157760
4182,alloc,2376,8549540,8835072,0.967682,127708,157824
4183,alloc,535,8550092,8835072,0.967744,127156,157824
4184,alloc,2911,8553004,8839168,0.967625,128276,157888
4185,alloc,3332,8556336,8843264,0.967554,128976,157952
4186,alloc,1539,8557896,8843264,0.967730,127416,157952
4187,alloc,3981,8561880,8847360,0.967733,127464,158016
4188,alloc,3210,8565092,8851456,0.967648,128284,158080
4189,alloc,1654,8566748,8851456,0.967835,126628,158080
4190,alloc,3421,8570172,8855552,0.967774,127236,158144
4191,alloc,744,8570924,8855552,0.967859,126484,158144
4192,alloc,3972,8574896,8859648,0.967860,126544,158208
4193,alloc,3685,8578584,8863744,0.967828,126888,158272
4194,alloc,1627,8580212,8863744,0.968012,125228,158304
4195,alloc,3638,8583852,8867840,0.967976,125620,158368
4196,alloc,1335,8585192,8867840,0.968127,124280,158368
4197,alloc,2492,8587684,8871936,0.967961,125820,158432
4198,alloc,3022,8590708,8876032,0.967855,126828,158496
4199,alloc,3224,8593932,8880128,0.967771,127636,158560
4200,alloc,1476,8595408,8880128,0.967937,126160,158560
4201,alloc,1255,8596664,8880128,0.968079,124904,158560
4202,alloc,2374,8599040,8884224,0.967900,126560,158624
4203,alloc,88,8599128,8884224,0.967910,126472,158624
4204,alloc,900,8600044,8884224,0.968013,125556,158624
4205,alloc,1582,8601628,8884224,0.968191,123940,158656
4206,alloc,1243,8602872,8884224,0.968331,122696,158656
4207,alloc,2158,8605032,8888320,0.968128,124568,158720
4208,alloc,4047,8609096,8892416,0.968139,124568,158752
4209,alloc,224,8609320,8892416,0.968164,124344,158752
4210,alloc,1520,8610860,8892416,0.968338,122804,158752
4211,alloc,509,8611376,8892416,0.968396,122288,158752
4212,alloc,3865,8615244,8896512,0.968384,122452,158816
4213,alloc,2499,8617744,8900608,0.968220,123984,158880
4214,alloc,3845,8621592,8904704,0.968206,124168,158944
4215,alloc,547,8622140,8904704,0.968268,123588,158976
4216,alloc,1895,8624068,8904704,0.968485,121660,158976
4217,alloc,2189,8626260,8908800,0.968285,123500,159040
4218,alloc,4064,8630324,8912896,0.968296,123500,159072
4219,alloc,4011,8634336,8916992,0.968301,123520,159136
4220,alloc,4082,8638420,8925184,0.967870,127564,159200
4221,alloc,1553,8639984,8925184,0.968045,126000,159200
4222,alloc,573,8640560,8925184,0.968110,125392,159232
4223,alloc,2163,8642724,8925184,0.968352,123196,159264
4224,alloc,3594,8646320,8929280,0.968311,123632,159328
4225,alloc,473,8646828,8929280,0.968368,123124,159328
4226,alloc,1760,8648588,8929280,0.968565,121332,159360
4227,alloc,251,8648840,8929280,0.968593,121080,159360
4228,alloc,1348,8650220,8929280,0.968748,119700,159360
4229,alloc,3778,8654000,8933376,0.968727,119952,159424
4230,alloc,2885,8656888,8937472,0.968606,121096,159488
4231,alloc,989,8657896,8937472,0.968719,120088,159488
4232,alloc,3577,8661476,8941568,0.968675,120540,159552
4233,alloc,1929,8663408,8945664,0.968448,122640,159616
4234,alloc,1177,8664588,8945664,0.968580,121428,159648
4235,alloc,1382,8665972,8945664,0.968734,120012,159680
4236,alloc,3157,8669132,8949760,0.968644,120884,159744
4237,alloc,3023,8672156,8953856,0.968539,121892,159808
4238,alloc,392,8672548,8953856,0.968582,121500,159808
4239,alloc,3667,8676216,8957952,0.968549,121864,159872
4240,alloc,3704,8679920,8962048,0.968520,122192,159936
4241,alloc,3515,8683436,8966144,0.968469,122708,160000
4242,alloc,275,8683712,8966144,0.968500,122432,160000
4243,alloc,3941,8687656,8970240,0.968498,122520,160064
4244,alloc,3292,8690948,8974336,0.968422,123260,160128
4245,alloc,1950,8692900,8974336,0.968640,121276,160160
4246,alloc,2901,8695804,8978432,0.968521,122404,160224
4247,alloc,2152,8697956,8982528,0.968319,124284,160288
4248,alloc,3574,8701532,8986624,0.968276,124740,160352
4249,alloc,4070,8705604,8994816,0.967847,128796,160416
4250,alloc,1655,8707260,8994816,0.968031,127108,160448
4251,alloc,3610,8710872,8994816,0.968432,123464,160480
4252,alloc,453,8711328,8994816,0.968483,123008,160480
4253,alloc,2454,8713784,8998912,0.968315,124584,160544
