event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
3997,alloc,193,8158424,9306112,0.876674,964808,182880
3998,alloc,605,8159032,9306112,0.876739,964168,182912
3999,alloc,1637,8160672,9310208,0.876530,966560,182976
4000,alloc,980,8161652,9310208,0.876635,965548,183008
4001,alloc,3405,8165060,9314304,0.876615,966172,183072
4002,alloc,1277,8166340,9314304,0.876753,964860,183104
4003,alloc,3374,8169716,9318400,0.876729,965516,183168
4004,alloc,716,8170432,9318400,0.876806,964768,183200
4005,alloc,452,8170892,9318400,0.876856,964308,183200
4006,alloc,3854,8174748,9322496,0.876884,964484,183264
4007,alloc,391,8175140,9322496,0.876926,964092,183264
4008,alloc,270,8175412,9322496,0.876955,963788,183296
4009,alloc,1105,8176520,9322496,0.877074,962648,183328
4010,alloc,1630,8178152,9326592,0.876864,965048,183392
4011,alloc,1403,8179556,9326592,0.877014,963612,183424
4012,alloc,2605,8182164,9330688,0.876909,965036,183488
4013,alloc,13,8182180,9330688,0.876911,964988,183520
4014,alloc,2877,8185060,9334784,0.876834,966140,183584
4015,alloc,18,8185080,9334784,0.876837,966088,183616
4016,alloc,2260,8187340,9338880,0.876694,967860,183680
4017,alloc,3482,8190824,9342976,0.876683,968408,183744
4018,alloc,20,8190844,9342976,0.876685,968356,183776
4019,alloc,3524,8194368,9347072,0.876678,968864,183840
4020,alloc,1391,8195760,9347072,0.876826,967440,183872
4021,alloc,3266,8199028,9351168,0.876792,968204,183936
4022,alloc,3115,8202144,9355264,0.876741,969120,184000
4023,alloc,3245,8205392,9359360,0.876704,969904,184064
4024,alloc,639,8206032,9359360,0.876773,969232,184096
4025,alloc,91,8206124,9359360,0.876783,969140,184096
4026,alloc,2590,8208716,9363456,0.876676,970580,184160
4027,alloc,1930,8210648,9367552,0.876499,972680,184224
4028,alloc,754,8211404,9367552,0.876579,971892,184256
4029,alloc,963,8212368,9367552,0.876682,970928,184256
4030,alloc,955,8213324,9367552,0.876784,969940,184288
4031,alloc,111,8213436,9367552,0.876796,969796,184320
4032,alloc,2630,8216068,9371648,0.876694,971196,184384
4033,alloc,2561,8218632,9375744,0.876585,972664,184448
4034,alloc,300,8218932,9375744,0.876617,972332,184480
4035,alloc,1421,8220360,9375744,0.876769,970904,184480
4036,alloc,1834,8222196,9379840,0.876582,973100,184544
4037,alloc,3992,8226188,9383936,0.876624,973140,184608
