event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4356,alloc,2418,8921000,10604544,0.841243,1464280,219264
4357,alloc,2170,8923172,10608640,0.841123,1466140,219328
4358,alloc,589,8923764,10608640,0.841179,1465516,219360
4359,alloc,1463,8925228,10608640,0.841317,1464020,219392
4360,alloc,3093,8928324,10612736,0.841284,1464956,219456
4361,alloc,1193,8929520,10612736,0.841397,1463728,219488
4362,alloc,3863,8933384,10616832,0.841436,1463896,219552
4363,alloc,2084,8935468,10620928,0.841308,1465844,219616
4364,alloc,2860,8938328,10625024,0.841252,1467016,219680
4365,alloc,3530,8941860,10629120,0.841261,1467516,219744
4366,alloc,698,8942560,10629120,0.841326,1466784,219776
4367,alloc,605,8943168,10629120,0.841384,1466144,219808
4368,alloc,2326,8945496,10633216,0.841278,1467848,219872
4369,alloc,3215,8948712,10637312,0.841257,1468664,219936
4370,alloc,3565,8952280,10641408,0.841268,1469128,220000
4371,alloc,2614,8954896,10645504,0.841190,1470544,220064
4372,alloc,824,8955720,10645504,0.841268,1469688,220096
4373,alloc,3489,8959212,10649600,0.841272,1470228,220160
4374,alloc,3254,8962468,10653696,0.841254,1471004,220224
4375,alloc,609,8963080,10653696,0.841312,1470360,220256
4376,alloc,3245,8966328,10657792,0.841293,1471144,220320
4377,alloc,2539,8968868,10661888,0.841208,1472636,220384
4378,alloc,2365,8971236,10665984,0.841107,1474300,220448
4379,alloc,2272,8973508,10670080,0.840997,1476060,220512
4380,alloc,1841,8975352,10674176,0.840847,1478248,220576
4381,alloc,2703,8978056,10678272,0.840778,1479576,220640
4382,alloc,1755,8979812,10678272,0.840942,1477788,220672
4383,alloc,3354,8983168,10682368,0.840934,1478464,220736
4384,alloc,1200,8984368,10682368,0.841046,1477232,220768
4385,alloc,4023,8988392,10686464,0.841101,1477240,220832
4386,alloc,1046,8989440,10686464,0.841199,1476160,220864
4387,alloc,1884,8991324,10690560,0.841053,1478308,220928
4388,alloc,2629,8993956,10694656,0.840977,1479708,220992
4389,alloc,2383,8996340,10698752,0.840878,1481356,221056
4390,alloc,874,8997216,10698752,0.840959,1480448,221088
4391,alloc,1003,8998220,10698752,0.841053,1479412,221120
4392,alloc,2370,9000592,10702848,0.840953,1481072,221184
4393,alloc,3924,9004516,10706944,0.840998,1481180,221248
4394,alloc,2003,9006520,10711040,0.840863,1483208,221312
4395,alloc,1439,9007960,10711040,0.840998,1481736,221344
4396,alloc,209,9008172,10711040,0.841017,1481492,221376
4397,alloc,106,9008280,10711040,0.841028,1481352,221408
4398,alloc,2847,9011128,10715136,0.840972,1482536,221472
4399,alloc,3352,9014480,10719232,0.840963,1483216,221536
4400,alloc,2172,9016652,10723328,0.840845,1485076,221600
4401,alloc,3402,9020056,10727424,0.840841,1485704,221664
4402,alloc,1621,9021680,10727424,0.840992,1484048,221696
4403,alloc,1413,9023096,10727424,0.841124,1482632,221696
4404,alloc,3093,9026192,10731520,0.841092,1483568,221760
4405,alloc,4090,9030284,10739712,0.840831,1487604,221824
4406,alloc,547,9030832,10739712,0.840882,1487024,221856
4407,alloc,745,9031580,10739712,0.840952,1486244,221888
4408,alloc,2278,9033860,10739712,0.841164,1483932,221920
4409,alloc,935,9034796,10739712,0.841251,1482964,221952
4410,alloc,4085,9038884,10747904,0.840990,1487004,222016
4411,alloc,2920,9041804,10747904,0.841262,1484052,222048
4412,alloc,2934,9044740,10752000,0.841215,1485148,222112
4413,alloc,3742,9048484,10756096,0.841242,1485436,222176
4414,alloc,1081,9049568,10756096,0.841343,1484320,222208
4415,alloc,3224,9052792,10760192,0.841323,1485128,222272
4416,alloc,1001,9053796,10760192,0.841416,1484092,222304
